Sample ID,Material,Description,14C Lab ID,DatBP,Sta,Comment,δ13C‰ VPDB,δ15N‰ AIR,C:N,Sr Lab ID,Sr87/Sr86,,,,,,,,,,,,,,
NEO128,bone,nd,,,,,,,,,,,,,,,,,,,,,,,
NEO130,tooth,M2,,,,,,,,,,,,,,,,,,,,,,,
NEO130,bone,nd,UBA-39965,6950,48,,-20.2,10.3,3.22,,,,,,,,,,,,,,,,
NEO137,tooth+bone,M2+bone,UBA-39966,6728,42,,-20.3,10,3.23,,,,,,,,,,,,,,,,
NEO140,tooth+bone,M2+bone,UBA-40083,5892,35,,-19.4,10.9,3.2,,,,,,,,,,,,,,,,
NEO142,tooth+bone,M2+bone,UBA-40084,5839,39,,-19.1,10.2,3.24,,,,,,,,,,,,,,,,
NEO143,tooth+bone,M2+bone,OxA-39289,5853,24,,-19.3,11.2,3.2,,,,,,,,,,,,,,,,
NEO143,tooth+bone,M2+bone,UBA-39968,,,failed,,,,,,,,,,,,,,,,,,,
NEO145,tooth+bone,M2+bone,UBA-39969,5908,35,,-19.5,10.9,3.2,,,,,,,,,,,,,,,,
NEO147,tooth+bone,M2+bone,UBA-39970,5897,62,,-19.9,10.5,3.26,,,,,,,,,,,,,,,,
NEO148,tooth+bone,M2+bone,UBA-39971,5799,47,isotopes failed,,,,,,,,,,,,,,,,,,,
NEO149,tooth+bone,M2+bone,UBA-39972,6088,44,,-19.6,11.6,3.24,,,,,,,,,,,,,,,,
NEO158,tooth,nd,UBA-39973,5287,40,,-21.6,13.8,3.25,,,,,,,,,,,,,,,,
NEO160,tooth,nd,UBA-39975,5101,40,,-23,13.1,3.22,,,,,,,,,,,,,,,,
NEO162,tooth,nd,UBA-39976,6378,38,,-22.5,13.1,3.23,,,,,,,,,,,,,,,,
NEO163,tooth,nd,UBA-39977,5133,40,,-23,11.6,3.2,,,,,,,,,,,,,,,,
NEO164,tooth,nd,UBA-39978,5197,34,,-22.9,11.8,3.13,,,,,,,,,,,,,,,,
NEO166,tooth,nd,UBA-39979,,,failed,,,,,,,,,,,,,,,,,,,
NEO166,tooth,nd,OxA-39293,5198,22,,-24.23,12,3.2,,,,,,,,,,,,,,,,
NEO167,tooth,nd,UBA-39980,5166,37,,-22.5,11.6,3.18,,,,,,,,,,,,,,,,
NEO168,tooth,nd,UBA-39981,4968,58,isotopes failed,,,,,,,,,,,,,,,,,,,
NEO170,tooth,nd,UBA-39982,5079,43,,-23.4,11.2,3.16,,,,,,,,,,,,,,,,
NEO171,tooth,nd,UBA-39983,,,failed,,,,,,,,,,,,,,,,,,,
NEO171,tooth,nd,OxA-39294,5351,23,,-23.45,11.9,3.2,,,,,,,,,,,,,,,,
NEO172,tooth,nd,UBA-39984,6181,47,isotopes failed,,,,,,,,,,,,,,,,,,,
NEO173,tooth,nd,UBA-39985,5789,34,isotopes failed,,,,,,,,,,,,,,,,,,,
NEO174,tooth,nd,UBA-39986,4865,33,,-23.5,12.4,3.16,,,,,,,,,,,,,,,,
NEO175,tooth,nd,UBA-39987,4052,34,,-19.6,10.9,3.16,,,,,,,,,,,,,,,,
NEO178,tooth,nd,UBA-39990,4754,50,,-21.8,12.4,3.15,,,,,,,,,,,,,,,,
NEO179,tooth,nd,UBA-39991,4919,36,,-23,12.7,3.15,,,,,,,,,,,,,,,,
NEO180,tooth,nd,UBA-39992,5314,34,,-23.2,12.7,3.05,,,,,,,,,,,,,,,,
NEO181,tooth,nd,UBA-39993,5328,39,isotopes failed,,,,,,,,,,,,,,,,,,,
NEO182,tooth,nd,UBA-39994,4767,35,,-22.5,12.5,3.08,,,,,,,,,,,,,,,,
NEO183,tooth,nd,UBA-39995,5011,35,,-23.4,13.4,3.16,,,,,,,,,,,,,,,,
NEO184,tooth,nd,UBA-39996,5014,36,,-23.1,13.3,3.15,,,,,,,,,,,,,,,,
NEO185,tooth,nd,UBA-39997,6393,39,,-22.2,15.3,3.16,,,,,,,,,,,,,,,,
NEO186,tooth,nd,UBA-39998,6317,91,,-22.6,14.3,3.14,,,,,,,,,,,,,,,,
NEO187,tooth,nd,UBA-39999,4616,38,,-22.4,13.9,3.16,,,,,,,,,,,,,,,,
NEO188,tooth,nd,UBA-40000,4916,35,,-23.3,13.9,3.17,,,,,,,,,,,,,,,,
NEO189,tooth,nd,UBA-40001,5157,35,,-24.6,14.6,3.2,,,,,,,,,,,,,,,,
NEO192,tooth,nd,UBA-40003,6265,38,,-20.1,13.2,3.22,,,,,,,,,,,,,,,,
NEO193,tooth,nd,UBA-40004,4981,37,,-23.7,13.7,3.21,F10382,0.710584,,,,,,,,,,,,,,
NEO194,tooth,nd,UBA-40005,5143,34,,-24.4,13.9,3.22,,,,,,,,,,,,,,,,
NEO195,tooth,nd,UBA-40006,5118,59,,-22.8,12.6,3.22,,,,,,,,,,,,,,,,
NEO197,tooth,nd,UBA-40007,4827,34,,-23.5,13.7,3.21,,,,,,,,,,,,,,,,
NEO199,tooth,nd,UBA-40008,7011,41,,-19.9,17.3,3.22,,,,,,,,,,,,,,,,
NEO200,tooth,nd,UBA-40009,6833,40,,-19.7,16.9,3.17,,,,,,,,,,,,,,,,
NEO201,tooth,nd,UBA-40010,6883,50,,-19.8,16.7,3.23,,,,,,,,,,,,,,,,
NEO202,tooth,nd,UBA-40011,10030,56,,-22.3,15.4,3.23,,,,,,,,,,,,,,,,
NEO202,tooth,nd,UBA-41633,10728,59,,,,,,,,,,,,,,,,,,,,
NEO204,tooth,nd,UBA-40012,6582,68,,-20.5,11.9,3.19,,,,,,,,,,,,,,,,
NEO207,tooth,nd,UBA-40013,6434,58,,-21.6,12.6,3.21,,,,,,,,,,,,,,,,
NEO209,tooth,nd,OxA-39310,6617,28,,-20.07,12.07,3.2,,,,,,,,,,,,,,,,
NEO209,tooth,nd,UBA-40014-1,,,failed,,,,,,,,,,,,,,,,,,,
NEO210,tooth,nd,OxA-39311,6687,29,,-20.51,13.3,3.2,,,,,,,,,,,,,,,,
NEO210,tooth,nd,UBA-40015,,,failed,,,,,,,,,,,,,,,,,,,
NEO212,tooth,nd,UBA-40016,6730,39,,-20.3,11.8,3.2,,,,,,,,,,,,,,,,
NEO220,tooth,PM1 dxt,UBA-30763,3654,34,,-20.6,8.9,3.16,,,,,,,,,,,,,,,,
NEO221,tooth,C sin,UBA-30770,3420,33,,-20.9,10.6,3.18,,,,,,,,,,,,,,,,
NEO223,tooth,dpm1 dxt,UBA-30774,3640,33,,-20.8,9.9,3.22,,,,,,,,,,,,,,,,
NEO224,tooth,PM2 sin,UBA-30749,3595,33,,-20.8,9.3,3.17,,,,,,,,,,,,,,,,
NEO225,tooth,PM2 dxt,UBA-30768,3491,33,,-21.1,8.5,3.15,,,,,,,,,,,,,,,,
NEO226,tooth,dc dxt,UBA-30758,3500,31,,-20,10.8,3.24,,,,,,,,,,,,,,,,
NEO227,tooth,C sin,UBA-30765,3602,33,,-20.8,8.3,3.17,,,,,,,,,,,,,,,,
NEO228,tooth,PM1 dxt,UBA-30767,3562,49,,-21,10.7,3.15,,,,,,,,,,,,,,,,
NEO254,tooth,M3 max dxt,UBA-35724,,,failed,,,,,,,,,,,,,,,,,,,
NEO254,bone,femur dxt,K-4063,9250,85,,,,,,,,,,,,,,,,,,,,
NEO254,bone,femur dxt,AAR-8613,9285,50,,-22.3,7.9,3.4,,,,,,,,,,,,,,,,
NEO254,tooth,M1,,,,,,,,nd,0.71005,,,,,,,,,,,,,,
NEO259,tooth,PM4 mand sin,OxA-39288,4404,21,,-21.1,10.7,3.2,,,,,,,,,,,,,,,,
NEO260,tooth,M1 max dxt,,,,,,,,,,,,,,,,,,,,,,,
NEO260,tooth,M1 max dxt,AAR-11206,5259,37,,-13.35,17.34,3.17,,,,,,,,,,,,,,,,
NEO260,bone,cranium,St-3839,4610,100,,,,,,,,,,,,,,,,,,,,
NEO261,tooth,LRPM,,,,,,,,,,,,,,,,,,,,,,,
NEO262,bone,Pars petrosa sin,UBA-40018,6174,35,,-21.6,13.8,3.19,,,,,,,,,,,,,,,,
NEO265,tooth,M1 mand sin,UBA-40019,5276,38,,-21.2,14.9,3.2,,,,,,,,,,,,,,,,
NEO268,tooth+ bone,"tooth + petrous, R",UBA-40020,,,failed,,,,,,,,,,,,,,,,,,,
NEO270,bone,Pars petrosa sin,UBA-40021,6823,34,,-21.5,15.1,3.22,,,,,,,,,,,,,,,,
NEO278,bone,Pars petrosa sin,UBA-40022,2860,25,,-14.3,12.9,3.22,,,,,,,,,,,,,,,,
NEO281,tooth,nd,UBA-40023,8735,44,,-19.6,9.8,3.15,,,,,,,,,,,,,,,,
NEO283,tooth,nd,UBA-40025,21412,194,isotopes failed,,,,,,,,,,,,,,,,,,,
NEO292,tooth,2 teeth,UBA-40027,5448,41,,-19.3,127,3.12,,,,,,,,,,,,,,,,
NEO300,bone,Pars petrosa,UBA-40028,6340,34,,-22.4,15.4,3.2,,,,,,,,,,,,,,,,
NEO302,bone,Pars petrosa,UBA-40029,6459,31,,-22.6,15.1,3.22,,,,,,,,,,,,,,,,
NEO304,bone,Pars petrosa,UBA-40030,6568,32,,-22.8,15.4,3.13,,,,,,,,,,,,,,,,
NEO305,bone,Pars petrosa,UBA-40031,6269,39,,-22.4,15,3.21,,,,,,,,,,,,,,,,
NEO306,tooth,2 teeth,UBA-40032,3995,30,,-20.8,9.2,3.1,,,,,,,,,,,,,,,,
NEO306,tooth,2 teeth,Poz-10827,4090,35,,,,,,,,,,,,,,,,,,,,
NEO307,bone,Pars petrosa,UBA-40033,7313,49,,-21.4,14.1,3.21,,,,,,,,,,,,,,,,
NEO307,bone,Pars petrosa,Ua-3638,6900,65,,,,,,,,,,,,,,,,,,,,
NEO309,bone,Pars petrosa,UBA-40035,5575,36,,-22.2,13.7,3.12,,,,,,,,,,,,,,,,
NEO310,bone,Pars petrosa,P-48476,,,failed,,,,,,,,,,,,,,,,,,,
NEO310,bone,Pars petrosa,UBA-40036,,,failed,,,,,,,,,,,,,,,,,,,
NEO492,bone,Pars petrosa,P-48492,,,failed,,,,,,,,,,,,,,,,,,,
NEO492,bone,Pars petrosa,UBA-40038,,,failed,,,,,,,,,,,,,,,,,,,
NEO494,bone,Pars petrosa,OxA-X-3040-35,9875,71,,-21.5,13.6,3.5,,,,,,,,,,,,,,,,
NEO494,bone,Pars petrosa,UBA-40039,,,failed,,,,,,,,,,,,,,,,,,,
NEO496,bone,Pars petrosa,UBA-40040,,,failed,,,,,,,,,,,,,,,,,,,
NEO496,bone,Pars petrosa,P-48494,,,failed,,,,,,,,,,,,,,,,,,,
NEO497,bone,Pars petrosa,P-48496,,,failed,,,,,,,,,,,,,,,,,,,
NEO497,bone,Pars petrosa,UBA-40041,,,failed,,,,,,,,,,,,,,,,,,,
NEO498,bone,Pars petrosa,UBA-40042,6623,36,,-23.1,15.2,3.38,,,,,,,,,,,,,,,,
NEO501,bone,Pars petrosa,OxA-39349,9869,42,,-22.05,14.16,3.4,,,,,,,,,,,,,,,,
NEO501,bone,Pars petrosa,UBA-40043,,,failed,,,,,,,,,,,,,,,,,,,
NEO502,bone,Pars petrosa,UBA-40044,6283,39,,-23.1,13.7,3.35,,,,,,,,,,,,,,,,
NEO503,bone,Pars petrosa,UBA-40045,6359,50,,-20.9,14.2,3.35,,,,,,,,,,,,,,,,
NEO507,bone,Pars petrosa,UBA-40046,6513,32,,-22.8,15.1,3.35,,,,,,,,,,,,,,,,
NEO508,bone,Pars petrosa,UBA-40047,5973,35,,-20.6,13.4,3.35,,,,,,,,,,,,,,,,
NEO509,bone,Pars petrosa,UBA-40048,4184,28,,-22.5,13.7,3.3,,,,,,,,,,,,,,,,
NEO514,bone,Pars petrosa,UBA-40050,6299,35,,-21.6,15.3,3.31,,,,,,,,,,,,,,,,
NEO516,bone,Pars petrosa,UBA-40051,6648,49,,-22.8,13.4,3.27,,,,,,,,,,,,,,,,
NEO518,bone,Pars petrosa,UBA-40052,2378,29,,-13.4,12.5,3.3,,,,,,,,,,,,,,,,
NEO521,bone,Pars petrosa,UBA-40053,7901,42,,-21.2,14.2,3.28,,,,,,,,,,,,,,,,
NEO522,bone,Pars petrosa,UBA-40054,5723,38,,-22.9,14.8,3.21,,,,,,,,,,,,,,,,
NEO524,bone,Pars petrosa,UBA-40055,6544,35,,-22.5,14.9,3.27,,,,,,,,,,,,,,,,
NEO527,bone,Pars petrosa,UBA-40056,,,failed,,,,,,,,,,,,,,,,,,,
NEO527,bone,Pars petrosa,OxA-39571,10050,34,,-22.78,13.67,3.34,,,,,,,,,,,,,,,,
NEO528,bone,Pars petrosa,UBA-40057,6463,36,,-21.5,14.6,3.3,,,,,,,,,,,,,,,,
NEO529,bone,Pars petrosa,UBA-40058,6376,42,,-21,15.3,3.28,,,,,,,,,,,,,,,,
NEO536,bone,mandible,OxA-X-2182-51,8885,45,,-22.5,12.6,3.3,,,,,,,,,,,,,,,,
NEO536,tooth,nd,UBA-40059,9389,65,,-20.3,13.5,3.2,,,,,,,,,,,,,,,,
NEO537,nd,nd,UBA-40060,7775,45,,-24.3,14.5,3.2,,,,,,,,,,,,,,,,
NEO537,nd,nd,GIN-8837,7240,160,,,,,,,,,,,,,,,,,,,,
NEO537,bone,cranium,OxA-16194,7631,39,,-24.3,14,3.2,,,,,,,,,,,,,,,,
NEO538,tooth,nd,UBA-40061,2748,38,,-22.9,14.6,3.2,,,,,,,,,,,,,,,,
NEO539,bone,cranium,OxA-16198,9385,40,,-22.3,13,3.2,,,,,,,,,,,,,,,,
NEO539,bone,cranium,OxA-16199,8895,40,,,,,,,,,,,,,,,,,,,,
NEO539,tooth,nd,UBA-40062,9501,53,,-21.6,14.3,3.18,,,,,,,,,,,,,,,,
NEO545,bone,Pars petrosa,UBA-40063,,,failed,,,,,,,,,,,,,,,,,,,
NEO545,bone,Pars petrosa,OxA-39572,9962,36,,-22.44,14.04,3.3,,,,,,,,,,,,,,,,
NEO549,bone,Pars petrosa,OxA-39312,9826,40,,-22.71,14.34,3.4,,,,,,,,,,,,,,,,
NEO549,bone,Pars petrosa,UBA-40064,,,failed,,,,,,,,,,,,,,,,,,,
NEO550,bone,Pars petrosa,OxA-X-3072-31,10197,96,,-20.9,13.3,3.5,,,,,,,,,,,,,,,,
NEO550,bone,Pars petrosa,UBA-40065,,,failed,,,,,,,,,,,,,,,,,,,
NEO551,bone,Pars petrosa,UBA-40066,6797,40,,-23.1,14.7,3.27,,,,,,,,,,,,,,,,
NEO552,bone,Pars petrosa,UBA-40067,6524,40,,-21.1,14.7,3.28,,,,,,,,,,,,,,,,
NEO553,bone,Pars petrosa,UBA-40068,6553,40,,-21.8,15.3,3.26,,,,,,,,,,,,,,,,
NEO554,tooth,nd,UBA-40069,7472,42,,-20.2,12.7,3.18,,,,,,,,,,,,,,,,
NEO555,tooth,nd,UBA-40070,7709,45,,-21.4,12.6,3.24,,,,,,,,,,,,,,,,
NEO556,bone,Pars petrosa,UBA-40071,6627,40,healed skull trauma,-21.4,13.5,3.3,,,,,,,,,,,,,,,,
NEO557,bone,Pars petrosa,UBA-40072,7615,60,healed skull trauma,-20.1,13.1,3.27,,,,,,,,,,,,,,,,
NEO558,bone,Pars petrosa,UBA-40073,7540,56,,-21.4,12.6,3.28,,,,,,,,,,,,,,,,
NEO559,bone,Pars petrosa,UBA-40074,7690,40,,-21.3,12.1,3.23,,,,,,,,,,,,,,,,
NEO560,bone,Pars petrosa,UBA-40075,7337,42,healed skull trauma,-20.5,12.3,3.22,,,,,,,,,,,,,,,,
NEO561,bone,Pars petrosa,UBA-40076,7632,44,,-20.2,12.3,3.23,,,,,,,,,,,,,,,,
NEO563,tooth,PM1 mand dxt,UBA-38226,3210,32,,-18.5,9.5,3.19,F10322,0.709789,,,,,,,,,,,,,,
NEO564,tooth,Loose PM,UBA-38227,4836,35,,-20,9.6,3.2,F10323,0.710273,,,,,,,,,,,,,,
NEO566,tooth,PM1 mand sin,,,,,,,,F10536,0.709912,,,,,,,,,,,,,,
NEO568,tooth,M3 mand dxt,,,,,,,,F10324,0.709051,,,,,,,,,,,,,,
NEO568,bone,femur dxt,UBA-37882,5981,50,,-15.6,13.3,3.15,,,,,,,,,,,,,,,,
NEO568,bone,costa,UBA-31308,5690,34,,-14.9,13.3,,,,,,,,,,,,,,,,,
NEO568,bone,femur dxt,AAR-8555,5790,30,,-15.2,13.3,3.2,,,,,,,,,,,,,,,,
NEO568,bone,tibia dxt,K-4933,5340,70,,,,,,,,,,,,,,,,,,,,
NEO569,bone,Pars petrosa dxt,UBA-35704,5611,53,,-14,14.2,3.28,,,,,,,,,,,,,,,,
NEO570,tooth, I2+C max sin ,UBA-35705,5911,43,in jaw frag,-10.8,13.7,3.21,,,,,,,,,,,,,,,,
NEO571,tooth,PM2 mand sin,UBA-38228,4828,35,,-20.1,9.7,3.21,F10326,0.711415,,,,,,,,,,,,,,
NEO580,bone,Petrosa sin,UBA-35708,4086,42,,-20,10.6,3.23,,,,,,,,,,,,,,,,
NEO583,bone,humerus,K-3750,6200,75,,,,,,,,,,,,,,,,,,,,
NEO583,tooth,PM1 max sin,nd,,,Belfast isotope measurement,-10.85,14,3.17,F10327,0.709536,,,,,,,,,,,,,,
NEO583,bone,maxilla,UBA-39552,6400,37,,-11.4,13.7,3.23,,,,,,,,,,,,,,,,
NEO586,bone,Petrosa sin,UBA-35710,6443,44,,-11.2,14.7,3.26,,,,,,,,,,,,,,,,
NEO587,tooth,M1 mand sin,AAR-6788,8060,65,"date suspect, Tudse hage dated used",-22.3,11.5,3.5,F10541,0.709876,,,,,,,,,,,,,,
NEO589,tooth,PM1 max dxt,,,,,,,,F10328,0.709464,,,,,,,,,,,,,,
NEO589,bone,os temporale,K-4263,6760,75,,,,,,,,,,,,,,,,,,,,
NEO590,tooth,C mand sin,UBA-38231,3114,30,,-20,10.7,3.19,F10329,0.709262,,,,,,,,,,,,,,
